osiągnąć światowy sukces	achieve global success
wziąć udział w przesłuchaniu do filmu/orkiestry	audition for a film/an orchestra
ukazać się, wyjść	come out/be released
poruszać temat	explore a topic
zadebiutować	make your debut
gwiazdorska obsada	all-star line-up
przebój kasowy/totalna klapa	box-office hit/disaster/flop
obsada; obsadzić	cast (n, v)
ciągłość akcji, scenografii, postaci itp.	continuity
dubbing (polski)	dubbed into (Polish)
film aktorski	live-action film
film nisko-/wysokobudżetowy	low-/big-budget film
źle obsadzony	miscast
na planie	on set
czołówka/napisy końcowe	opening/end credits
grać główną rolę	play the lead role/the lead
wyświetlać film	screen a film
sequel/prequel czegoś	sequel/prequel to sth
kręcić w plenerze	shoot on location
z napisami	subtitled/with subtitles
zwiastun	trailer
podziękowania w książce	acknowledgements
antologia	anthology
biały wiersz	blank verse
nota wydawnicza na okładce	blurb
baśń, bajka	fairy tale
pierwsza wersja	first draft
narracja pierwszo-/trzecioosobowa	first-/third-person narrative
wydanie w twardej/miękkiej oprawie	hardback/paperback (edition)
rymowanka dla dzieci	nursery rhyme
przedmowa, wstęp	preface
płodny pisarz	prolific writer
prolog	prologue
pseudonim literacki	pseudonym/pen name
przeczytać coś w manuskrypcie	read sth in manuscript
zwrotka	stanza
wątek poboczny	sub-plot
pełna, nieskrócona wersja	unabridged version
strofa, werset	verse
tom, tomik	volume
autobiografia	autobiography
opowieść o dorastaniu	coming-of-age story
powieść graficzna	graphic novel
opowieść o napadzie rabunkowym	heist crime drama
dramat obyczajowy o życiu rodzinnym	kitchen sink drama
skandynawski kryminał	Nordic noir
fantastyka postapokaliptyczna	post-apocalyptic fiction
thriller psychologiczny	psychological thriller
satyra społeczna/polityczna	social/political satire
dreszczowiec	suspense story
instalacja artystyczna	art installation
karykatura	caricature
rysunek węglem/pastelami/kredą	charcoal/pastel/chalk drawing
zbliżenie na coś	close-up of sth
organizować (np. wystawę)	curate
kurator, kustosz	curator
bazgroły	doodle
sztaluga	easel
grawerować	engrave
rycina, grawerunek	engraving
doświadczenie zanurzenia się w sztuce	immersive experience
ostry/nieostry	in focus/out of focus
pejzaż/pejzaż morski	landscape/seascape
